HOUSEID,VEHID,DRVRCNT,HHFAMINC,HHSIZE,HHVEHCNT,NUMADLT,HYBRID,URBAN,URBANSIZE,URBRUR,VEHCOMM,VEHOWNMO,VEHYEAR,WRKCOUNT,VEHAGE,HOMEOWN,HOMETYPE,LIF_CYC,ANNMILES,FUELTYPE,GSYRGAL,GSTOTCST,VEHTYPE
22493538,1,1,18,2,1,1,1,4,6,2,2,72,2002,1,7,1,4,05,25000,4,1106,3212,3
22528980,3,4,18,4,4,4,2,1,1,1,2,18,2005,4,4,1,1,08,15000,4,209,638,3
22562911,2,2,17,3,2,2,2,4,6,2,2,36,2005,2,4,1,1,06,13000,4,707,2167,3
22564791,1,2,15,2,2,2,2,2,6,1,2,36,2004,1,5,1,1,10,12000,4,463,1342,3
22607746,2,3,18,3,3,3,2,1,1,1,2,12,2007,1,2,1,1,10,17652,4,430,1303,1
22664637,1,2,18,2,3,2,2,1,2,1,2,48,2004,2,5,1,1,02,31000,4,695,2106,1
22672360,1,2,18,4,4,2,2,1,4,1,2,12,2007,2,2,1,1,06,20000,4,790,2613,1
22682640,2,2,18,2,2,2,2,1,5,1,2,48,2002,2,7,1,2,02,22000,4,1064,3521,1
22684279,1,2,10,2,3,2,2,4,6,2,2,12,2007,2,2,1,1,02,12000,4,377,1094,1
22687430,1,2,16,2,2,2,2,1,5,1,2,18,2005,2,4,1,1,02,20000,4,1042,3157,3
22725640,1,2,18,2,2,2,2,4,6,2,2,84,2002,2,7,1,1,02,30000,4,1548,4494,1
22733261,1,3,18,5,3,2,2,1,3,1,2,0.75,2008,2,1,1,1,06,32000,4,759,2252,1
22737296,1,2,16,2,2,2,2,1,5,1,2,36,2007,1,2,1,2,07,12000,4,605,1853,1
22742740,1,2,15,2,2,2,2,1,1,1,2,36,2005,2,4,1,1,02,16000,4,429,1298,1
22761086,2,2,18,4,2,2,2,4,6,2,2,36,2005,2,4,1,1,06,13000,4,725,2222,3
22764966,1,3,16,3,3,2,2,4,6,2,2,36,2005,2,4,1,1,08,7000,4,612,1854,3
22778945,2,2,18,2,3,2,2,1,3,1,2,36,2005,2,4,1,1,02,12000,4,1004,3074,3
22785279,2,2,14,2,2,2,2,1,1,1,2,60,2003,2,6,1,1,02,5000,4,351,1061,3
22790817,1,1,10,1,1,1,2,1,4,1,2,36,2005,1,4,1,1,01,12000,4,650,1955,1
22800837,1,2,4,3,2,2,2,1,2,1,2,6,2007,1,2,1,1,04,14000,4,528,1600,3
22832913,1,2,17,3,2,2,2,1,1,1,2,1,2009,1,1,1,1,08,18000,4,715,2106,3
22856571,2,2,16,2,2,2,2,4,6,2,2,60,2004,0,5,1,1,10,4000,4,324,992,1
22903215,1,1,4,2,1,2,2,4,6,2,2,36,2004,0,5,1,4,10,2500,4,433,1324,1
22908966,4,4,12,5,6,4,2,4,6,2,2,24,2003,2,6,1,1,06,6000,4,434,1326,1
22942625,1,1,14,1,4,1,1,4,6,2,2,36,2006,0,3,1,1,09,8000,4,322,977,1
22980300,1,1,5,1,1,1,2,4,6,2,2,36,2004,0,5,1,1,09,7800,4,707,2262,1
22988717,1,1,17,1,1,1,2,1,4,1,2,60,2002,0,7,1,3,09,8000,4,196,569,1
22994008,2,2,18,2,2,2,2,4,6,2,2,48,2004,1,5,1,1,10,10000,4,772,2363,3
23001668,1,2,18,2,2,2,2,1,4,1,2,24,2007,0,2,1,1,10,10000,4,327,949,1
23011407,3,4,12,4,4,4,2,1,4,1,2,36,2004,4,5,1,1,02,20000,4,1179,3901,3
23020810,2,2,13,2,2,2,2,4,6,2,2,60,2004,0,5,1,1,10,7000,4,191,631,1
23047116,1,1,6,2,1,2,2,1,1,1,2,72,2002,1,7,1,1,02,5000,4,235,691,1
23064177,1,1,14,1,1,1,2,1,2,1,2,26,2006,1,3,1,1,01,8500,4,93,298,1
23096187,1,2,8,2,3,2,2,2,6,1,2,12,2008,0,1,1,1,10,12000,4,357,1036,3
23122723,1,2,14,2,2,2,2,1,4,1,2,12,2007,2,2,1,1,02,17000,4,799,2518,3
23157604,2,4,18,4,4,4,2,1,3,1,2,12,2006,3,3,1,1,10,6500,4,247,789,1
23157604,3,4,18,4,4,4,2,1,3,1,2,48,2004,3,5,1,1,10,10500,4,252,806,1
23269842,1,1,4,1,1,1,2,4,6,2,2,48,2004,0,5,1,1,09,3000,4,49,148,1
23277360,1,1,4,1,1,1,2,1,3,1,2,36,2005,0,4,1,2,09,5000,4,194,574,1
23282430,1,1,8,1,1,1,2,1,4,1,2,7,2006,1,3,1,3,01,12000,4,163,497,1
23312887,1,2,17,2,3,2,2,4,6,2,2,48,2005,1,4,1,1,10,20000,4,1220,3697,3
23346604,1,2,7,2,2,2,2,1,3,1,2,2,2009,0,1,1,1,10,3000,4,291,932,4
23350898,1,3,14,6,3,4,2,1,4,1,2,13,2007,4,2,1,1,06,15000,4,580,1705,2
23352315,1,2,18,5,3,2,2,1,3,1,2,1,2008,1,1,1,1,04,18000,4,1238,3638,3
23356881,1,2,11,2,5,2,2,4,6,2,2,24,2006,1,3,1,1,02,15000,4,689,2088,3
23359284,1,1,18,1,1,1,1,1,3,1,2,30,2006,1,3,1,1,01,10000,1,452,1565,1
23364822,1,2,18,3,1,3,2,1,4,1,2,72,2002,1,7,1,1,10,14000,4,581,1685,1
23403057,1,1,3,1,2,1,2,1,1,1,2,48,2004,0,5,1,1,09,10000,4,709,2171,3
23409134,2,2,18,2,2,2,2,1,5,1,2,19,2007,0,2,1,2,10,5000,4,268,887,1
23424762,1,2,10,2,2,2,2,1,4,1,2,18,2007,0,2,1,1,10,4000,4,241,796,1
23426328,1,2,18,4,2,2,2,4,6,2,2,3,2008,1,1,1,1,06,14164,4,781,2365,1
23428573,2,4,18,5,4,5,2,2,6,1,2,24,2006,4,3,1,1,08,16000,4,713,2147,3
23448254,2,3,18,3,3,3,2,1,4,1,2,72,2002,3,7,1,1,02,18000,4,387,1137,1
23452505,1,1,4,1,1,1,2,1,4,1,2,18,2002,1,7,1,1,01,10000,4,494,1555,1
23470068,1,2,11,6,2,2,2,4,6,2,2,60,2003,1,6,1,1,04,12000,4,431,1317,2
23471225,1,2,17,3,2,2,2,4,6,2,2,28,2006,2,3,1,1,06,30000,4,853,2475,1
23484065,2,2,18,4,2,2,2,2,6,1,2,36,2005,1,4,1,1,06,12000,4,444,1290,1
23486809,2,2,14,2,3,2,2,4,6,2,2,6,2006,1,3,1,1,10,6000,4,449,1302,4
23512481,1,2,18,4,2,2,1,1,4,1,2,24,2006,2,3,1,1,06,15000,4,1103,3475,3
23521175,1,1,4,4,1,2,2,1,4,1,2,24,2007,1,2,2,3,04,20000,4,746,2467,3
23525164,1,3,18,3,3,3,2,1,2,1,1,60,2004,1,5,1,2,10,15000,4,378,1249,4
23529425,1,2,6,2,4,2,2,1,3,1,2,36,2005,1,4,1,1,10,2500,4,404,1221,4
23540608,2,2,11,2,4,2,2,4,6,2,2,48,2003,0,6,1,1,10,4000,4,530,1604,1
23569355,1,3,6,5,2,2,2,4,6,2,2,36,2005,2,4,1,1,06,15000,4,911,2914,4
23601901,2,2,1,2,2,2,2,1,3,1,2,60,2002,1,7,1,1,10,1000,4,282,902,1
23605552,2,3,12,3,4,3,2,2,6,1,2,60,2004,2,5,1,4,02,12000,4,231,763,3
23608106,2,3,17,3,2,3,2,1,5,1,2,8,2008,2,1,1,1,02,9000,4,340,1028,1
23616473,1,1,10,1,1,1,2,1,1,1,2,48,2003,0,6,1,1,09,2000,4,31,93,1
23642856,1,2,17,2,3,2,2,1,3,1,2,12,2006,1,3,1,1,02,11000,4,438,1298,3
23666106,1,1,4,2,1,2,2,4,6,2,2,60,2002,0,7,1,4,10,7500,4,497,1492,4
23709375,1,3,12,4,2,2,2,2,6,1,2,11,2009,1,1,1,1,06,15272.72727,4,452,1383,1
23769744,1,2,10,2,5,2,2,1,1,1,1,12,2008,2,1,1,1,02,20000,4,1129,3318,4
23769744,2,2,10,2,5,2,2,1,1,1,2,36,2004,2,5,1,1,02,8000,1,662,2274,4
23777927,1,2,18,2,2,2,2,1,4,1,2,60,2004,0,5,1,1,10,10000,4,284,822,3
23800357,1,3,18,3,3,2,2,2,6,1,2,12,2008,3,1,1,1,08,10000,4,172,519,1
23815940,1,2,17,2,6,2,2,4,6,2,1,24,2006,1,3,1,1,02,30000,4,1399,4150,4
23817083,2,3,16,3,3,3,2,4,6,2,2,2,2005,2,4,1,1,10,12000,4,583,1766,3
23832059,1,2,9,2,2,2,2,4,6,2,2,4,2006,1,3,1,1,02,3000,4,256,774,1
